Collection Name,Product/Service Name,Sales Description,Type,Sales Price / Rate
BA,BA_3015WR,"Wine Rack -30""W * 15H"" * 12""D",Wall,454
BA,BA_30GR,"Stemware Rack - 30""W",Wall,187
BA,BA_3615WR,"Wine Rack -36""W * 15H"" * 12""D",Wall,532
BA,BA_36GR,"Stemware Rack - 36""W",Wall,199
BA,BA_AW1230,"Wall Angle End -12""W * 30""H * 12""D",Wall,215
BA,BA_AW1236,"Wall Angle End -12""W * 36""H * 12""D",Wall,242
BA,BA_AW1242,"Wall Angle End -12""W * 42""H * 12""D",Wall,270
BA,BA_B09,"Base cabinet - 9""W * 34-1/2""H * 24""D",Base,281
BA,BA_B12,"Base cabinet - 12""W * 34-1/2""H * 24""D",Base,330
BA,BA_B15,"Base cabinet - 15""W * 34-1/2""H * 24""D",Base,349
BA,BA_B18,"Base cabinet - 18""W * 34-1/2""H * 24""D",Base,367
BA,BA_B21,"Base cabinet - 21""W * 34-1/2""H * 24""D",Base,398
BA,BA_B24,"Base cabinet - 24""W * 34-1/2""H * 24""D",Base,448
BA,BA_B27,"Base cabinet - 27""W * 34-1/2""H * 24""D",Base,480
BA,BA_B30,"Base cabinet - 30""W * 34-1/2""H * 24""D",Base,504
BA,BA_B33,"Base cabinet - 33""W * 34-1/2""H * 24""D",Base,635
BA,BA_B36,"Base cabinet - 36""W * 34-1/2""H * 24""D",Base,660
BA,BA_B42,"Base cabinet - 42""W * 34-1/2""H * 24""D",Base,770
BA,BA_BBC36/42 Left,"Blind Base - 36""W * 34-1/2""H * 24""D Left",Base,504
BA,BA_BBC36/42 Right,"Blind Base - 36""W * 34-1/2""H * 24""D Right",Base,504
BA,BA_BES12L,"Base End Shelf 12""W * 34-1/2""H * 24""D-1S-L",Base,380
BA,BA_BES12R,"Base End Shelf 12""W * 34-1/2""H * 24""D-1S-R",Base,380
BA,BA_BF3,"Base Filler - 3""W * 3/4""H * 34-1/2""L",Accessory,73
BA,BA_BF6,"Base Filler - 6""W * 3/4""H * 34-1/2""L",Accessory,108
BA,BA_BF636,"Base Filler - 6""W * 3/4""H * 34-1/2""L",Base,120
BA,BA_BMC,"Base Microwave Cabinet  -30""W * 34-1/2""H * 24""D",Noninventory,593
BA,BA_BP9636-1/4,"Finished Plywood Panel -36""W * 96""H * 1/4""D",Accessory,143
BA,BA_BRA24,"Base Return Angle -17-1/2""W * 34-1/2""H * 24""D",Accessory,513
BA,BA_BSPR12,"Base Spice Pull Out -12""W * 34-1/2""H * 24""D",Base,585
BA,BA_BSPR9,"Base Spice Pull Out -9""W * 34-1/2""H * 24""D",Base,448
BA,BA_BT09,"Base cabinet - 9""W * 34-1/2""H * 24""D",Base,262
BA,BA_CBL11,"Corbel- 6""W * 11""H * 4-1/2""D",Accessory,274
BA,BA_CBL21,"Corbel- 6""W * 21""H * 4-1/2""D",Accessory,311
BA,"BA_CM1-5/8""","Crown Molding - 1-5/8""W *  96""L",Accessory,100
BA,"BA_CM2-1/2""","Crown Molding - 2-1/2""W * 96""L",Accessory,150
BA,BA_CM4,"Cove Molding 4""W * 96""L",Accessory,204
BA,BA_CM4R,"Crown Molding 4""W/R W *  96""L",Accessory,204
BA,BA_DB12-3,"3 Drawer Base- 12""W * 34-1/2""H * 24""D- 3 Drawers",Base,498
BA,BA_DB15-3,"3 Drawer Base- 15""W * 34-1/2""H * 24""D- 3 Drawers",Base,536
BA,BA_DB18-3,"3 Drawer Base- 18""W * 34-1/2""H * 24""D- 3 Drawers",Base,648
BA,BA_DB21-3,"3 Drawer Base- 21""W * 34-1/2""H * 24""D- 3 Drawers",Base,691
BA,BA_DB24-3,"3 Drawer Base- 24""W * 34-1/2""H * 24""D- 3 Drawers",Base,735
BA,BA_DB30-3,"3 Drawer Base- 30""W * 34-1/2""H * 24""D- 3 Drawers",Base,754
BA,BA_DB36-3,"3 Drawer Base- 36""W * 34-1/2""H * 24""D- 3 Drawers",Base,828
BA,BA_DWR3,"Dishwasher Panel -24""W * 34-1/2""H * 1/2""D- w 3"" Return",Accessory,94
BA,BA_FBM,"Base Board Molding - 4-5/8""W *3/4 ""H * 96""L",Accessory,161
BA,BA_FD18,"File Drawer Base -16-1/2""W * 28-1/2""H * 21""D",Base,440
BA,BA_ICM,"Inside Corner Molding - 2-1/2""W * 3-1/4""H * 96""L",Accessory,45
BA,BA_KD30,"Knee Drawer - 30""W * 5""H * 21""D - Can be trimmed to 24""",Accessory,221
BA,BA_LM(LRM8),"Light Rail Molding - 1-1/2""W * 3/4""H * 96""L",Accessory,99
BA,BA_LS3312,"Lazy Susan - 33""W * 34-1/2""H",Base,909
BA,BA_LS3612,"Lazy Susan - 36""W * 34-1/2""H",Base,946
BA,BA_MBEP24,"Base End Panel -23-1/2 ""W * 29-1/2""H * 3/4""D",Accessory,243
BA,BA_MWEP1230,"Wall End Panel -11-1/2 ""W * 29-1/2""H * 3/4""D",Accessory,119
BA,BA_MWEP1236,"Wall End Panel -11-1/2 ""W * 35-1/2""H * 3/4""D",Accessory,144
BA,BA_MWEP1242,"Wall End Panel -11-1/2 ""W * 41-1/2""H * 3/4""D",Accessory,168
BA,BA_OC3090U,"Oven Cabinet - 30""W *90""H * 24""D",Tall,1351
BA,BA_OC3096U,"Oven Cabinet - 30""W *96""H * 24""D",Tall,1482
BA,BA_OC3384U,"Oven Cabinet - 33""W *84""H * 24""D",Tall,1370
BA,BA_OC3390U,"Oven Cabinet - 33""W *90""H * 24""D",Tall,1507
BA,BA_OC3396U,"Oven Cabinet - 33""W *96""H * 24""D",Tall,1662
BA,BA_OCM8,"Outside Corner Molding - 5/8""W * 5/8""H * 96""L",Accessory,63
BA,BA_PC1884,"Tall Pantry - 18""W *84""H * 24""D",Tall,990
BA,BA_PC1890,"Tall Pantry - 18""W *90""H * 24""D",Tall,1027
BA,BA_PC1896,"Tall Pantry - 18""W *96""H * 24""D",Tall,1077
BA,BA_PC2484,"Tall Pantry - 24""W *84""H * 24""D",Tall,1164
BA,BA_PC2490,"Tall Pantry - 24""W *90""H * 24""D",Tall,1227
BA,BA_PC2496,"Tall Pantry - 24""W *96""H * 24""D",Tall,1276
BA,BA_PC3084,"Tall Pantry - 30""W *84""H * 24""D",Tall,1320
BA,BA_PC3090,"Tall Pantry - 30""W *90""H * 24""D",Tall,1419
BA,BA_PC3096,"Tall Pantry - 30""W *96""H * 24""D",Tall,1526
BA,BA_PR3015,"Plate Rack - 30""W * 15""H * 12""D",Wall,374
BA,BA_QRM,"Quarter Round Molding - 3/4""W * 3/4""H * 96""L",Accessory,40
BA,BA_RHE3024,Range Hood,Accessory,915
BA,BA_ROT15,Roll Out Trays - for B15 cabinet,Accessory,113
BA,BA_ROT18,Roll Out Trays - for B18 cabinet,Accessory,125
BA,BA_ROT21,Roll Out Trays - for B21 cabinet,Accessory,141
BA,BA_ROT24,Roll Out Trays - for B24 cabinet,Accessory,153
BA,BA_ROT27,Roll Out Trays - for B27 cabinet,Accessory,164
BA,BA_ROT30,Roll Out Trays - for B30 cabinet,Accessory,170
BA,BA_ROT33,Roll Out Trays - for B33 cabinet,Accessory,181
BA,BA_ROT36,Roll Out Trays - for B36 cabinet,Accessory,192
BA,BA_RRP96,"Refrigerator Panel -24""W * 96""H * 1/2""D with 3"" return",Accessory,249
BA,BA_SAMPLE,Sample Door,sample,50
BA,BA_SB27,"Sink Base -27""W * 34-1/2""H * 24""D",Base,476
BA,BA_SB30,"Sink Base -30""W * 34-1/2""H * 24""D",Base,504
BA,BA_SB33,"Sink Base -33""W * 34-1/2""H * 24""D",Base,523
BA,BA_SB36,"Sink Base -36""W * 34-1/2""H * 24""D",Base,548
BA,BA_SB42,"Sink Base -42""W * 34-1/2""H * 24""D",Base,609
BA,BA_SM8,"Scribe Molding - 1-1/4""W * 3/8""H * 96""L",Accessory,34
BA,BA_TC15,"Trash Can - for 15""W Base",Accessory,876
BA,BA_TC18,"Trash Can - for 18""W Base",Accessory,988
BA,BA_TK8,"Toe Kick - 4-1/2""W * 1/4""H * 96""L",Accessory,37
BA,BA_TUK,Touch up kit,Accessory,65
BA,BA_V2421,"Vanity Sink Base -24""W * 34-1/2""H * 21""D - 1 False Drawer",Vanity,387
BA,BA_V2721,"Vanity Sink Base -27""W * 34-1/2""H * 21""D - 1 False Drawer",Vanity,411
BA,BA_V3021,"Vanity Sink Base -30""W * 34-1/2""H * 21""D - 1 False Drawer",Vanity,435
BA,BA_V3621,"Vanity Sink Base -36""W * 34-1/2""H * 21""D - 1 False Drawer",Vanity,473
BA,BA_V3621L,"Vanity Sink Combo -36""W * 34-1/2""H * 21""D - Left Drawers",Vanity,611
BA,BA_V3621R,"Vanity Sink Combo -36""W * 34-1/2""H * 21""D - Right Drawers",Vanity,611
BA,BA_V4221L,"Vanity Sink Combo -42""W * 34-1/2""H * 21""D - Left Drawers",Vanity,672
BA,BA_V4221R,"Vanity Sink Combo -42""W * 34-1/2""H * 21""D - Right Drawers",Vanity,672
BA,BA_VAL36,"Arched Valance - 6""H * 36""L",Accessory,124
BA,BA_VAL48,"Arched Valance - 6""H * 48""L",Accessory,150
BA,BA_VAL60,"Arched Valance - 6""H * 60""L",Accessory,174
BA,BA_VAL72,"Arched Valance - 6""H * 72""L",Accessory,199
BA,BA_VDB12-3,"Vanity Drawwer Base -12""W * 34-1/2""H * 21""D - 3 Drawers",Vanity,560
BA,BA_VDB15-3,"Vanity Drawwer Base -15""W * 34-1/2""H * 21""D - 3 Drawers",Vanity,585
BA,BA_VDB18-3,"Vanity Drawwer Base -18""W * 34-1/2""H * 21""D - 3 Drawers",Vanity,616
BA,BA_VDB21-3,"Vanity Drawwer Base -21""W * 34-1/2""H * 21""D - 3 Drawers",Vanity,660
BA,BA_VDB24-3,"Vanity Drawwer Base -21""W * 34-1/2""H * 21""D - 3 Drawers",Vanity,697
